,x,y,latitude,longitude,altitude,stopped,time,speed_prev,dir_prev,speed_next,dir_next
1532,389474.6288186469,5072641.141075768,45.79848,13.57777,,1.0,2016-08-06 23:34:04,4.945922435840476,-0.26731948977391096,0.09084694907527234,-0.017796354529239958
1533,389481.6229260268,5072641.016593011,45.79848,13.57786,,1.0,2016-08-06 23:35:21,0.09084694907527234,-0.017796354529239958,0.08637583126910184,-2.0519373368706204
1534,389469.5507923516,5072617.892645398,45.79827,13.57771,,1.0,2016-08-06 23:40:23,0.08637583126910184,-2.0519373368706204,0.1766356686183782,1.0989982215648635
1535,389493.7147451431,5072665.251583624,45.7987,13.57801,,1.0,2016-08-06 23:45:24,0.1766356686183782,1.0989982215648635,4.759771333983083,-0.8606335028189339
1536,390418.45862762094,5071589.7326626405,45.78917,13.59015,,1.0,2016-08-06 23:50:22,4.759771333983083,-0.8606335028189339,0.08595801333592144,-2.3353933336903654
1537,390382.8156653182,5071552.575147769,45.78883,13.5897,,1.0,2016-08-07 00:00:21,0.08595801333592144,-2.3353933336903654,0.0007931073637026055,-1.9949761318698243
1538,390376.3427189384,5071538.241637076,45.7887,13.58962,,1.0,2016-08-07 05:30:51,0.0007931073637026055,-1.9949761318698243,0.029094419430497762,-2.4503240808012694
1539,390372.3976008941,5071534.977166143,45.78867,13.58957,,1.0,2016-08-07 05:33:47,0.029094419430497762,-2.4503240808012694,2.030439829212717,-0.8336948098834145
1540,390780.4576282357,5071085.467148194,45.78469,13.59492,,0.0,2016-08-07 05:38:46,2.030439829212717,-0.8336948098834145,4.606862443808983,-0.8873281163845117
1541,391644.48089304136,5070024.552721142,45.77528,13.60627,,0.0,2016-08-07 05:43:43,4.606862443808983,-0.8873281163845117,4.735451153277316,-0.19881727878335162
1542,393032.4887815053,5069744.898266965,45.77298,13.62418,,0.0,2016-08-07 05:48:42,4.735451153277316,-0.19881727878335162,2.065684630723051,0.06901531917523342
1543,393650.7188926436,5069787.633487877,45.77346,13.63212,,0.0,2016-08-07 05:53:42,2.065684630723051,0.06901531917523342,4.474667651799396,-0.6889491772754692
1544,394673.1208714666,5068945.612853838,45.76604,13.64545,,0.0,2016-08-07 05:58:38,4.474667651799396,-0.6889491772754692,4.4363693646159525,-0.738214123159812
1545,395657.55776687415,5068049.952437443,45.75813,13.6583,,0.0,2016-08-07 06:03:38,4.4363693646159525,-0.738214123159812,4.171943786150533,-0.763219520923088
1546,396567.99900180503,5067179.025998485,45.75043,13.67019,,0.0,2016-08-07 06:08:40,4.171943786150533,-0.763219520923088,4.124358830646891,-0.7685008881364694
1547,397448.66993534775,5066327.625144472,45.7429,13.68169,,0.0,2016-08-07 06:13:37,4.124358830646891,-0.7685008881364694,4.901152489371398,-0.7051152471283642
1548,398568.3924224095,5065374.662308295,45.73449,13.69628,,0.0,2016-08-07 06:18:37,4.901152489371398,-0.7051152471283642,5.207797713602878,-0.6699767018473007
1549,399797.0924895889,5064401.266144029,45.72591,13.71227,,0.0,2016-08-07 06:23:38,5.207797713602878,-0.6699767018473007,5.769310451753241,-0.8116851760717
1550,400984.3865456661,5063149.850936563,45.71482,13.72778,,0.0,2016-08-07 06:28:37,5.769310451753241,-0.8116851760717,4.566011400528419,-0.5559238453014884
1551,403036.0763569546,5061875.165546426,45.70364,13.75439,,0.0,2016-08-07 06:37:26,4.566011400528419,-0.5559238453014884,4.283044330254629,-0.28580892315469875
1552,404153.80539730866,5061546.716209033,45.70084,13.76881,,0.0,2016-08-07 06:41:58,4.283044330254629,-0.28580892315469875,4.302227768011557,-0.6653084285893113
1553,405504.2912365312,5060487.062785,45.69149,13.78636,,0.0,2016-08-07 06:48:37,4.302227768011557,-0.6653084285893113,3.0454961850123663,-0.7982691482370913
1554,406146.22118205146,5059828.391901469,45.68565,13.79473,,1.0,2016-08-07 06:53:39,3.0454961850123663,-0.7982691482370913,0.018607187993753188,-2.955578103585248
